Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2025-10-12 23:17:50,0x181,3,0x0,0x0,0x0,,,,,
2025-10-12 23:17:50,0x701,1,0x1,,,,,,,
2025-10-12 23:17:50,0x181,3,0x2,0x0,0x1,,,,,
2025-10-12 23:17:50,0x181,3,0x4,0x0,0x2,,,,,
2025-10-12 23:17:50,0x181,3,0x6,0x0,0x3,,,,,
2025-10-12 23:17:50,0x181,3,0x8,0x0,0x4,,,,,
2025-10-12 23:17:50,0x181,3,0xA,0x0,0x5,,,,,
2025-10-12 23:17:50,0x181,3,0xC,0x0,0x6,,,,,
2025-10-12 23:17:50,0x181,3,0xE,0x0,0x7,,,,,
2025-10-12 23:17:50,0x181,3,0x10,0x0,0x8,,,,,
2025-10-12 23:17:50,0x181,3,0x12,0x0,0x9,,,,,
2025-10-12 23:17:50,0x181,3,0x14,0x0,0xA,,,,,
2025-10-12 23:17:50,0x181,3,0x16,0x0,0xB,,,,,
2025-10-12 23:17:50,0x181,3,0x18,0x0,0xC,,,,,
2025-10-12 23:17:50,0x181,3,0x1A,0x0,0xD,,,,,
2025-10-12 23:17:50,0x181,3,0x1C,0x0,0xE,,,,,
2025-10-12 23:17:50,0x181,3,0x1E,0x0,0xF,,,,,
2025-10-12 23:17:50,0x181,3,0x20,0x0,0x10,,,,,
2025-10-12 23:17:50,0x181,3,0x22,0x0,0x11,,,,,
2025-10-12 23:17:50,0x181,3,0x24,0x0,0x12,,,,,
2025-10-12 23:17:50,0x181,3,0x26,0x0,0x13,,,,,
2025-10-12 23:17:50,0x181,3,0x28,0x0,0x14,,,,,
2025-10-12 23:17:50,0x181,3,0x2A,0x0,0x15,,,,,
2025-10-12 23:17:50,0x181,3,0x2C,0x0,0x16,,,,,
2025-10-12 23:17:50,0x181,3,0x2E,0x0,0x17,,,,,
2025-10-12 23:17:50,0x181,3,0x30,0x0,0x18,,,,,
2025-10-12 23:17:50,0x181,3,0x32,0x0,0x19,,,,,
2025-10-12 23:17:50,0x181,3,0x34,0x0,0x1A,,,,,
2025-10-12 23:17:50,0x181,3,0x36,0x0,0x1B,,,,,
2025-10-12 23:17:50,0x181,3,0x38,0x0,0x1C,,,,,
2025-10-12 23:17:50,0x181,3,0x3A,0x0,0x1D,,,,,
2025-10-12 23:17:50,0x181,3,0x3C,0x0,0x1E,,,,,
2025-10-12 23:17:50,0x181,3,0x3E,0x0,0x1F,,,,,
2025-10-12 23:17:50,0x181,3,0x40,0x0,0x20,,,,,
2025-10-12 23:17:50,0x181,3,0x42,0x0,0x21,,,,,
2025-10-12 23:17:50,0x181,3,0x44,0x0,0x22,,,,,
2025-10-12 23:17:50,0x181,3,0x46,0x0,0x23,,,,,
2025-10-12 23:17:50,0x181,3,0x48,0x0,0x24,,,,,
